position,company,description,reviews,location
Market Research Analyst - Analyst Development Program,Ipsos North America,"Do you love a good mystery? Feel compelled to seek out the true meaning of things?

Would you like to work with a team of passionate problem-solvers dedicated to bringing research insights and compelling data to life?

If all this sounds good so far, you could be just the person weâ€™re looking for.

Ipsos is one of the worldâ€™s largest market research firms and truly an independent voice among the leading research brands. While many know us for our political polling, the vast majority of our business is in other areas â€“ media &amp; advertising, brand marketing, product innovation, and customer engagement. Ipsos is a prodigious generator of information on the behavior and attitudes of consumers, voters, decision-makers, and the general public on all facets of our culture. Ipsos truly understands the â€œvoice of the peopleâ€ because we listen to it firsthand every day.

As a Market Research Analyst in our Analyst Development Program, youâ€™ll get a chance to work with some of the worldâ€™s most recognized brands, helping to solve their biggest challenges. You will be an integral part of this exciting work.

The Market Research Analyst is a diverse role ideal for someone ready to:

Manage survey research projects, within timeline and budgets, including working closely with colleagues in our Operations groups to oversee all operational components of projects;
Design questionnaires and plan analyses;
Perform quality checks at various stages of the research to ensure accuracy, and to avoid errors or mistakes;
Manage the overall project timelines, ensuring that milestones are met and signed off at the various stages of the project execution;
Analyze and interpret survey results; prepare reports and presentations;
Develop an understanding of our clientsâ€™ business issues and the industries in which they operate.

Donâ€™t wait! Apply today if you:

Are awesome.
Love data, consumer decision-making, and puzzles. If anyone called you a â€œdata scientistâ€ you might want to hug them.
Can create killer stories in presentations, visually, and in writing.
Get excited about what makes customers happy
Have a Bachelorâ€™s degree in analytical or insights-focused fields such as economics, marketing, psychology, sociology, statistics, or similar business or liberal arts programs;
Beyond this, extra points for:
Experience with things such as questionnaire design, sampling approaches, and tabulation planning.
Serious MS Skills: MS Office is your friend â€“ you are proficient in Excel and PowerPoint.
Strong organizational, multi-tasking, decision-making, and problem-solving abilities along with an analytical aptitude, inquisitive nature, and a passion for uncovering insights;
Experience working with survey applications a plus (such as Qualtrics, Google Consumer Surveys, etc.);
Background and/or familiarity with quantitative and/or qualitative research methodologies;
Proficiency in Microsoft Office (Excel, Access, Word and PowerPoint) including the ability to use macros to increase efficiency in Excel and PowerPoint.

Share our passion. Share our success. Join us in being an #IpsosGameChanger.

Additional Information

Sound like the right place for you? Share our passion. Share our success. And join us in being an #IpsosGameChanger.

Please submit a detailed resume that demonstrates you have the experience and abilities we are seeking online by clicking the ""Apply"" button below. We thank all applicants; however only those short-listed for an interview will be contacted.

Analysis, analyze, data analytics, market research, segmentation, brand health, branding, consumer insights, project management, project execution, product testing, copy testing, ad testing, marketing, advertising, consumer loyalty, customer loyalty, behavioral economics, behavioral science, innovation, brand tracking, psychology, sociology, econometrics, economics, business administration, business, analyst, research analyst, ad tracking, media, technology, survey, questionnaire, customer experience, patient experience, public health, corporate reputation, polling, public opinion, impact evaluation, statistics, behavior change, program evaluation, Data visualization, PowerPoint, Excel, SPSS, data, research, financial, budget analyst, researcher, strategy, research scientist, data analyst, program manager, project assistant, sample management, field management, entry level, quantitative analytics, survey design, survey methods, research coordinator, data verification, sampling, reporting, integrity, curiosity, client first, collaboration, entrepreneurial spirit, client service,
Required Skills

Required Experience",333,"Washington, DC"
Ukrainian Research Analyst,Novetta,"Are you passionate about solving challenging problems?
Do you thrive being a critical part of an elite team of like-minded people?
How would you like for your next career move to take you to the next level?
If any of this sounds appealing, look no further.
Job Description:
Utilize open-source analytics platform to generate sophisticated analyses security and media trends in Europs
Produce documents, memos, and powerpoint decks with pertinent information and well-crafted visualizations
Liaise with government clients and other project stakeholders to advance their understanding of the open-source platform and its capabilities
Work with data-coders, modelers, and front-end developers to ensure coordination and collaboration
Basic Qualifications:
Bachelorâ€™s degree required, Masters or PhD preferred
Experience integrating multiple data sources to produce reports and papers
International relations and/or regional studies experience
Ukrainian language skills
Desired Skills:
Experience with software tools, computer coding or database management
Russian, Eastern European, German and French language skills
Knowledge of current events and security in Europe

So what does Novetta do?
We focus on three core areas: Cyber, Entity, and Multi-Int Analytics. Our products are focused on processing and analyzing vast amounts of data in these core areas. Our services are focused on helping our customers move from complexity to clarity. At Novetta, we bridge the gap between what our customers think they can do and what they aspire to achieve.
Our culture is shaped by a commitment to our Core Values:
Integrity: We hold ourselves accountable to the highest standards of integrity and ethics.
Customer Mission Success: Customer mission success drives our daily effortsâ€”we strive always to exceed customer expectations and focus on mission success beyond contractual commitments.
Employee Focus: We value our employees and demonstrate our commitment to them by providing clear communications, outstanding benefits, career development, and opportunities to work on problems and technical challenges of national significance.
Innovation: We believe that innovation is critical to our success â€“ that discovering new and more effective ways to achieve customer mission success is what makes us a great company.
Get a referral bonus for the great people you know! With our amazing referral program, you could be eligible to win outstanding rewards for referring qualified new hires to Novetta.

Novetta is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",24,"Washington, DC"
Research Analyst I,The Catholic University of America,"Plan, develop, and conduct surveys. Analyze, interpret and summarize the meaning of survey data,
determine survey objectives, and suggest or test question wording.
Essential Responsibilities Include: Create, maintain, and analyze statistical data needed for university management,
individual program accreditation, grant initiatives, and the assessment of student learning outcomes. Most projects will
require incorporating data from one to two data sources / data sets. Assist in the development, administration, creation, and
analysis of surveys and other assessment instruments to assess student learning outcomes and university processes and
procedures. Examples include: the National Survey of Student Engagement, the CIRP Freshman Survey, the universityâ€™s
graduate and undergraduate alumni surveys, the universityâ€™s senior survey, university surveys of student advising, and the
Classroom Survey of Student Engagement. Provide support and consultation for the assessment of student learning
outcomes. Provide support for all aspects of the universityâ€™s plan for the assessment of student learning outcomes.
Administer the universityâ€™s course evaluation system and oversee the analysis of results. Develop and maintain web-based
documents that organize and present institutional data for internal and external constituencies.
In collaboration with the Associate Vice President, conduct complex and objective research studies using appropriate
statistical techniques. Responsible for developing, implementing, and evaluating all other essential functions of the office with
attention to high standards and accuracy.
Minimum Qualifications: A Masterâ€™s Degree is required with a minimum of 1-2 yearsâ€™ experience with research or
assessment in higher education or a comparable environment. The incumbent will also possess: experience reporting data
and creating tables and graphs for multiple constituencies; strong analytical, written, and verbal communication skills; and the
ability to work independently and under time pressure. Experience with statistics (descriptive), research methods, statistical
software (SAS), databases, and survey design. Position requires the ability to manipulate and extract datasets from the
PeopleSoft Student System. Familiarity with national educational datasets. Position requires attention to detail, high-level
analytical skills, and high degree of confidentiality. Position requires the ability to handle and manipulate data information in
multiple formats. Position requires the ability to manage multiple tasks and communicate with various campus
constituencies.
How to apply: forward application, resume, and cover letter with salary requirements as an attachment to:
CUARecruitment@cua.edu. Reference position job title in subject line of email. Please do not include photos on resumes
and save documents with first/last names. All applicants must be supportive of the mission and vision of The Catholic
University of America. Position is open until filled.
THE CATHOLIC UNIVERSITY OF AMERICA
Office of Human Resources, 170 Leahy Hall
620 Michigan Avenue, NE
Washington, D.C. 20064
(202)319-5050 FAX (202)319-5802",95,"Washington, DC"
Azerbaijani Research Analyst,Novetta,"Are you passionate about solving challenging problems?
Do you thrive being a critical part of an elite team of like-minded people?
How would you like for your next career move to take you to the next level?
If any of this sounds appealing, look no further.
In this role you will:
Utilize open-source analytics platform to generate sophisticated analyses security and media trends in Europs
Produce documents, memos, and powerpoint decks with pertinent information and well-crafted visualizations
Liaise with government clients and other project stakeholders to advance their understanding of the open-source platform and its capabilities
Work with data-coders, modelers, and front-end developers to ensure coordination and collaboration

Basic Qualifications:
Bachelorâ€™s degree required, Masters or PhD preferred
Experience integrating multiple data sources to produce reports and papers
International relations and/or regional studies experience
Azerbaijani language skills
Desired Skills:
Experience with software tools, computer coding or database management
Russian language skills
Knowledge of current events and security in Russia and Central Asia


So what does Novetta do?
We focus on three core areas: Cyber, Entity, and Multi-Int Analytics. Our products are focused on processing and analyzing vast amounts of data in these core areas. Our services are focused on helping our customers move from complexity to clarity. At Novetta, we bridge the gap between what our customers think they can do and what they aspire to achieve.
Our culture is shaped by a commitment to our Core Values:
Integrity: We hold ourselves accountable to the highest standards of integrity and ethics.
Customer Mission Success: Customer mission success drives our daily effortsâ€”we strive always to exceed customer expectations and focus on mission success beyond contractual commitments.
Employee Focus: We value our employees and demonstrate our commitment to them by providing clear communications, outstanding benefits, career development, and opportunities to work on problems and technical challenges of national significance.
Innovation: We believe that innovation is critical to our success â€“ that discovering new and more effective ways to achieve customer mission success is what makes us a great company.
Get a referral bonus for the great people you know! With our amazing referral program, you could be eligible to win outstanding rewards for referring qualified new hires to Novetta.

Novetta is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",24,"Washington, DC"
"Senior Programmer Analyst, Research",The Urban Institute,"Who we are:

At the nonprofit Urban Institute, we believe in the power of evidence to improve lives and strengthen communities. Our employees are empowered to open minds, shape decisions and offer solutions. We encourage intellectual honesty, innovation, diversity, and mutual respect, and our analysis elevates the debate, wherever it takes place.

Urbanâ€™s greatest asset is our people. We strive to attract and cultivate a vibrant, creative, and diverse community. Our employees drive Urbanâ€™s mission through entrepreneurship, innovation, leadership, effective communication, results-orientation, and relationship cultivation. Our success depends on engaging individuals who possess and value these attributes.

The office of Technology and Data Science (Tech) is looking for a talented Senior Programmer to join the Research Programming Team. Tech is a team of outstanding technology professionals who provide Urban with solutions that employ state of the art technologies as well as project/product management practices including Lean, Agile and Design Thinking. The Tech team works collaboratively, and the Research Programming team works closely with our Data Science, Web Development and DevOps teams.


How youâ€™ll contribute:

The Research Programming team is made up of polyglot programmers who use tools such as C, C++, Fortran, Python, R, SAS and STATA to translate public policy and proposals into algorithms and code. The Senior Research Programmer Analyst position requires a person with both experience in maintaining, modifying and developing sophisticated existing code-bases, and also in developing new tools. Additionally, ideal candidates will possess the ability to effectively communicate results, plans and problems back to non-technical staff.

Responsibilities:
Maintain, update and develop existing models, and complex data analysis in multiple languages.
Create new models and analysis datasets.
Ensure code complies with team standards and maintain documentation.
Work closely with research staff to understand and implement policy changes into code.
Serve as a technical leader when designing new solutions.
Work with other team members in problem-solving and debugging.


What youâ€™ll bring:

The successful candidate will:
Possess a Master's degree or Bachelorâ€™s with equivalent experience, in Computer Science or related fields such as Mathematics, Economics, Statistics, or Actuarial Science.
5+ years experience in professional environment with multiple programming languages such as: C, C++, Fortran, or Java in addition to one of: python, R, STATA or SAS.
Demonstrate experience with development and planning tools such as: GitHub, JIRA; container technologies such as Docker or Kubernetes; and cloud technologies such as AWS EC2.
 Have familiarity with relational databases such as SQL, MySQL or Oracle and strong proficiency with agile development and management principles, methodology, and practices.
Communicate clearly to both technical and non-technical staff.
Lead technical tasks successfully.
Exhibit Proven debugging and problem-solving skills.
Display enthusiasm and dedication for Urbanâ€™s mission to create evidence-based research to enable informed policy debate.

The following are preferred but not required:
Familiarity with public survey datasets such as CPS and ACS.
Experience with both Windows and Linux environments.
Working knowledge of Monte-Carlo and/or microsimulation modeling.
Experience moving systems from on-premise to the cloud.


What youâ€™ll experience:

Working in the Nationâ€™s Capital, the epicenter of public policy among a network of policy experts, you can expect to have an impact on policy areas you care about and work with great colleagues who are smart, mission-driven, and collaborative. You will blend academic rigor with on-the-ground collaboration, be encouraged and supported to fulfill your potential through meaningful work that matters, and enjoy a welcoming workplace free from harassment, discrimination and intolerance.

In addition, we offer a comprehensive benefits package that includes: medical, dental, disability, and life insurance coverage. Competitive paid time off allowance, and eligibility to participate in a generous retirement savings plan and reimbursable commuting expense program.

The Urban Institute is committed to Equal Employment Opportunity without regard for race, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity or any other protected status under applicable law.",15,"Washington, DC 20037"
SOC Analyst Tier II,Jacobs,"â€œJacobs National Security Solutions (NSS) provides world-class IT network and service management capabilities; cutting edge cyber threat awareness and cybersecurity solutions; innovative web- and software applications development; and advanced data analytics for major clients in the Intelligence Community, Department of Defense, and Federal Civilian Agencies.

Our forward thinking solutions deliver an integrated approach to IT network design and management, full lifecycle IT service management, IT service delivery, asset management, logistics and procurement, and vendor management. We leverage the expertise and passion of our employees to conduct identity and access management, penetration testing, and vulnerability assessments for our nationâ€™s most closely guarded agencies and networks. Our Cyber Security Operations Centers ensure safe, effective network operations for Federal clients while our data scientists are helping stop illegal acts before they can endanger Americans or our way of life.

Jacobs promotes a culture of operational excellence to create a safer, smarter, and more connected world while upholding the highest standards of compliance, quality and integrity.

We continue to thrive and need your talent and motivation to help propel us farther, faster.â€

Jacobs National Security Solutions (NSS) is looking for a Tier II Analyst to provide Onsite and Offsite support in Washington, DC/Reston, VA.

Duties will include:
Monitor network traffic for security events and perform triage analysis to identify security incidents.
Respond to computer security incidents by collecting, analyzing, preserving digital evidence and ensure that incidents are recorded and tracked in accordance with SOC requirements.
Work closely with the other teams to assess risk and provide recommendations for improving our security posture.
The ability to take lead on incident research when appropriate and be able to mentor junior analysts.
Write executive level summaries describing incidents and brief Government and Contractor Management.
Work with Microsoft Office suite of tools (Word, Excel, PowerPoint, Visio) to document, enrich, automate, and report based of established SOC procedures.
Proficiency in writing professional and clear email communications which represent the SOC to clients across the Program.
Working knowledge of any of the following tools is required: McAfee ePO, RSA Security Analytics|Archer, Wireshark, Splunk or other information security tools.
Conduct research on emerging security threats.
Provides correlation and trending of Programâ€™s cyber incident activity.
Develops threat trend analysis reports and metrics.
Supports SOC analysis, handling and response activity.
Maintains situational awareness reports for advanced threats such as Advanced Persistent Threat (APT) and Focused Operations (FO) incidents.
Author Standard Operating Procedures (SOPs) and training documentation when needed. Regularly review, revise, and improve existing documentation through collaboration with Documentation Specialists.
Take ownership of multiple projects at a time and move them forward without neglecting any single one. Roadblocks to success are identified ,documented, communicated, and worked with available resources to overcome.
Qualifications
Must be able to obtain and maintain a Public Trust security clearance
Bachelor of Science degree in Information Technology, IT Security, Network Systems Technology or related field or equivalent experience plus five (5) to seven (7) years of directly related experience or any equivalent combination of education, experience, training and certifications.
Minimum of 4 years of IT with at least 3 years of information security operations center or incident response experience.
Self-motivated and able to work in an independent manner.
Must have at least one (1) certification in the field of information security from a respectable security organization. Desirable certifications include, but not limited to: GCIH, GCIA, GCFE, GREM, GCFA, GSEC, Security +, CEH, CISSP, CCNA (Security) or equivalent Certifications.
Candidate must be willing to work an 8:30 to 5 PM shift on site, Mon â€“ Fri.
Preferred Qualifications:
Minimum 3 years in an Incident Responder/Handler role and a minimum of 5 years in related Information Technology Security fields.
Deep packet and log analysis
Forensic and Malware Analysis experiences
Cyber Threat and Intelligence gathering and analysis
Essential Functions
Physical Requirements:
Most work will be done at a desk or computer.

Work Environment:
General Office environment. The work environment is fast-paced and sometimes involves extreme deadline pressures. The nature of the work requires a high degree of teamwork and cooperation with other members of the staff as well as individuals across the Company and Customers.

Equipment &amp; Machines:
General office equipment including PC/laptop, Fax, Copiers, Shredder, Printers, Telephone, and other miscellaneous office equipment.

Attendance:
Attendance is critical at all times. Must be able to work a 40-hour workweek, normally Monday through Friday. However, times and days may vary depending on business requirements. Needs to be available to work overtime during critical peaks and be available to meet last minute requests for overtime should the situation occur.

Other Essential Functions:
Must be able to communicate effectively both verbally and in writing. Grooming and dress must be appropriate for the position and must not impose a safety risk/hazard to the employee or others. Must put forward a professional behavior that enhances productivity and promotes teamwork and cooperation. Must be able to interface with individuals at all levels of the organization both verbally and in writing. Must be well-organized with the ability to coordinate and prioritize multiple tasks simultaneously. Must work well under pressure to meet deadline requirements. Must be willing to travel as needed. Must take and pass a drug test and background check as well as a motor vehicle records check. Must be a US citizen.

#cjpost
 
Jacobs is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or other characteristics protected by law. Jacobs is a background screening, drug-free workplace.",2380,"Washington, DC"
"Operations Research Analyst, Senior - Secret (SAF/AQH-Acquisition Career Mngmt)",OBXtek,"Overview
OBXtek Inc. is an established award-winning business providing information technology and professional management services to the federal government. OBXtek is a leader in its field and is committed to identifying, developing, and delivering innovative, mission-focused technical and logistical solutions to over 15 civilian and military partners in the Federal Government.

As a prime contractor for 93% of our current work, we possess a robust corporate infrastructure that provides management oversight and support for all our programs. OBXtek pairs lessons learned across disciplines with industry standard quality practices such as CMMI-Dev Level III, ITIL, 6Sigma, PMI, and ISO to create processes that leverage best practices and result in novel, successful solutions.
Responsibilities
This contract supports the SAF/AQ organization, other PEOs as directed, and other Headquarters Air Force organizations where it is in the interest of the SAF/AQ to have an acquisition support presence within that organization. The objective is to provide specialized expertise to complement the organizationâ€™s inherent resources for effective and efficient mission accomplishment and continuity, introduction of innovation, and enhancement of technical competence. The contractor shall support the entire spectrum of acquisition and sustainment efforts as necessary to support the respective Government organizations.

SAF/AQH â€“ Acquisition Career Management is the Air Force focal point for integrated management of the acquisition workforce across all functional areas. Responsible for leading the Acquisition Professional Development Program, including implementing programs and policies; develops, reviews, and coordinates policy and strategic plans for the Air Force acquisition workforce. Responsible for: managing the acquisition training office and funding to achieve strategic objectives for the workforce; career field management for scientists, engineers and acquisition program managers; management of SAF/AQassigned personnel including fill actions for civilian and military positions in coordination with AFDW and AFPC; management of the Acquisition Demonstration (AcqDemo) program; and the military officer management level review (MLR) promotion processes for SAF/AQ; SAF/AQ unit awards program, oversight of SAF/AQ manpower and support contractors.

The tasks for this position include:
a. Analyzing workforce data on size, certification, professional development, demographics, experience, retention, retirement.
b. Analyzing AcqDemo program data across the Air Force and measures, metrics and trend analysis on consistency and usage of funds within the Contribution-based Civilian Appraisal System (CCAS) annual reviews.
c. Analyzing data on initiatives within the acquisition workforce development fund to determine usage and return on investment of initiatives where measureable in systems.
d. Studying, analyzing, and providing data analysis and metrics to assist in preparation for briefings and other products such as human capital strategic plan, forecasting training requirements, and forecasting accession requirements.
e. Any other tasks closely associated with the performance of duties list above and as coordinated with the COR.
Qualifications
Active Secret Clearance

Personnel in this position shall have a Masterâ€™s Degree in Ops Research or related field.

10 yearsâ€™ experience in performing comparable analysis work.

They shall have familiarity or experience using military and civilian workforce personnel and manpower systems and be proficient with MS Access, Excel, PowerPoint and Word.",12,"Washington, DC"
Quantitative Analyst Model Validation,Ashton Lane Group,"Contribute to model validation of stress testing models and Interest Rate and Liquidity Risk management models.
Understand business processes and portfolios associated with model use, and the nature of model use within those processes
Assess the methodologies and processes used by modeling teams to develop and manage their models, and identifying potential risk and the associated materiality of the risk
Benchmark model methodologies and performance by specifying and managing the development of alternative models
Solve problems with limited data and making conclusions with analytical justifications
Provide constructive and actionable solutions to model issues identified
Research industry practices related to model methodologies
Document validation processes and results
Comply with the companyâ€™s model policy and regulatory requirements
Communicate validation results to management, model owners, regulators, and auditors
Requirements
3+ years of experience with Capital Markets models, such as Portfolio Valuation (fixed income, loans, and derivates), Market Risk management, Asset Liability management, Mortgage or Asset-backed securities, and prepayment or loss modeling.
Experience in fixed income and derivatives pricing and risk methodologies, or econometrics (strong knowledge of multivariate distributions and time series analysis).
Excellent oral and written communication skills.
Programming languages (Proficiency in Machine Learning, Cloud, and Python
Advanced degree (PhD or MS) in a quantitative discipline (e.g., statistics, physics, math)",NA,"Washington, DC"
"Software Engineer - Management Analyst II, (ID#12759)",Cherokee Nation Businesses,"Software Engineer-Management Analyst II

Washington, DC

SUMMARY

CNMS has a requirement to hire staff to support Global Engagement Center (GEC)â€™s Content, Analytics and Partnerships teams that will assist in a variety of foci, from the budget execution, to the planning, coordination, and synchronization of messaging campaigns and programs, to analyzing and evaluating data and to the establishment, management, leveraging and development of strategic international and Department partnerships. The employee shall also provide support to other teams within the GEC as it pertains to messaging, subject matter and cultural expertise, resources and analytics.

ESSENTIAL DUTIES AND RESPONSIBILITIES

The GECâ€™s Office of Science and Technology requires highly qualified Software Engineers with unique expertise in various computer science specialties including information retrieval, distributed contributing, large-scale system design, networking and data storage, cyber security, artificial intelligence, national language processing, and user interface/experience design. These individuals will include â€œBackendâ€, â€œFull Stackâ€, â€œDevOps,â€ and other software engineers. These individuals support the research, development, and operations of systems and analytical applications which guide the GECâ€™s counter propaganda and disinformation efforts as well as day-to-day operations. These developers will build custom applications and field research prototypes designed to foster technical innovation across the GEC. The Software Engineers will design, develop, test, deploy, maintain, and improve software aimed at applying data science and machine learning techniques developed by our Scientists and designed for use by our Analysts. These Engineers will operationalize behavioral, geo-temporal, social network, and content analytics against large-scale data sources including social media, traditional media, and protected sources across the interagency, data available for purchase, and from GECâ€™s partners. Also, the Software Engineers apply their technical skills and proper engineering standards to ensure operational efforts are aligned to strategic goals and requirements. Their ability to advance the technical operations of messaging campaigns, effectiveness, and information operations is imperative to the success of the USG efforts.

As needed, develop tools and operational prototypes, or modify existing platforms, to meet the goals and requirements of the GEC Science and Technology team and wider partnerships across other GEC teams, other U.S. Government organizations, or GEC external partners. This may include software development, social program development, data collection strategies and implementation, machine learning training and execution, develops actions on cloud infrastructures, basic system administration, or other technical actions. Develop a â€˜skunk worksâ€™-like culture focused on rapid prototyping and impactful tool development.

The Software Engineer is responsible for making it as easy and efficient as possible to conduct the Centerâ€™s mission and work with social media, news, and advertising data, including:

Design, develop, test, deploy, maintain, and enhance software solutions that are robust and scalable to enable a large volume of transactions and events to be processed.
Conduct design and code reviews to ensure that solutions are production ready at the outset and maintainable over the long term.
Analyze and improve efficiency, scalability, and stability of various system resources.
Manage individual project priorities, deadlines and deliverables with technical expertise.
Partner with S&amp;T Leadership Team in defining and planning projects.
Assist directly and indirectly in the continual hiring and development of technical talent.
Assist in the career development of technical colleagues, actively mentoring individuals and the community on advanced technical issues and helping managers guide the career growth of their team members.
Engage in special projects or novel efforts across the GEC mission, supporting the core tenets of agility and innovation, including the development of tools and operational prototypes, or modification of existing platforms, to meet the goals and requirements of the GEC S&amp;T team and wider partnerships across other GEC teams, other U.S. Government organizations, or GEC external partners. This may include software development, social program development, data collection strategies and implementation, machine learning training and execution, develops actions on cloud infrastructures, basic system administration, or other technical actions.
Develop a â€˜skunk worksâ€™-like culture focused on rapid prototyping and impactful tool development.
Work closely with GEC Scientists and Analysts to provide holistic insights into GEC mission problems focused on national security challenges.
Support the other GEC teams through tight collaboration and, as needed and directed by the leadership of the GEC S&amp;T division, embed onto other teams to provide close analytic, data science, and/or social science support.

EDUCATON AND EXPERIENCE

Bachelorâ€™s degree in software engineering, computer science, electrical / computer engineering, or related fields.

Within the last seven (7) years, a minimum of four (4) yearsâ€™ experience with at least two of the following: Java, C++, or Go.

Within the last seven (7) years, a minimum of three (3) yearsâ€™ experience with two or more of the following: Python, Ruby, Lua, Perl, or Bash.

Within the last five (5) years, a minimum of one (1) yearsâ€™ experience with one (1) or more of the following open-source development tools: git, GitHub, or Fisheye/Crucible.

Demonstrated experience with RDBMS (e.g. MySql, Postgres) and/or NoSQL databases (e.g. Accumulo/HBase, Cassandra, Elasticsearch/MongoDB, and/or Redis)

Desired experience with Apache Hadoop.

Desired experience with one (1) or more of the following container, resource management, and orchestration technologies: Docker, Mesos, and/or Kubernetes.

Desired experience with statistical machine learning or equivalent advanced analytic methodologies.

SECURITY CLEARANCE REQUIREMENT

Full performance in this position requires a Top Secret clearance. Candidates must have a Secret clearance upon appointment with the ability to obtain Top Secret/SCI.

Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information.

Apply online at www.cherokee-cnts.com

Cherokee Nation Mission Solutions provides support services and project support personnel to our Government and industry partners. Our highly skilled experts support and supplement the mission, expertise, and skill sets of our clients. Utilizing our customer-intimate approach, we partner with our clients to provide strategic solutions that maximize the use of human and financial resources to ensure that mission-critical projects are completed on time and within budget.

We are an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected Veteran status, gender identity and sexual orientation. If youâ€™d like more information about your EEO rights as an applicant under the law, please copy and paste the links to the following two sites:

http://www.eeoc.gov/employers/upload/poster_screen_reader_optimized.pdf

http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf

If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may e-mail â€œCNB.Compliance@cn-bus.comâ€ for assistance. This email address is for accommodation requests only and cannot be used to inquire about the application process or status.

For Pay Transparency Non Discrimination provision, please copy and paste the following link: https://www.dol.gov/ofccp/pdf/pay-transp_formattedESQA508c.pdf

We maintain an Affirmative Action Plan for the purpose of proactively seeking employment and advancement for qualified protected veterans and individuals with disabilities. Upon request, we will schedule time to make our Affirmative Action Plan accessible. If you are interested, please submit a written request with the email subject line: 2018 Request to View Affirmative Action Plan to the Compliance Administrator at â€œCNB.Compliance@cn-bus.comâ€ This email box is not for resumes or follow up on job applications.",79,"Washington, DC"
"Operations Research Analyst, Senior",ManTech International Corporation,"At ManTech, our Operations Research Analyst' have the opportunity to work, not only at our facilities but on-site with customers performing operational analysis using a variety of computer models and simulations such as Brawler Air Combat Simulation, Combat Forces Assessment Model (CFAM), Advanced Framework for Simulation, Integration, &amp; Modeling (AFSIM), Synthetic Theater Operations Research Model (STORM), and Extended Air Defense Simulation (EADSIM). You would conduct complex logical analysis of management problems and management information requirements and formulates mathematical models of problems for solutions by computer. Prepare mathematical models of problem areas in forms of one of several equations that relate constants and variables, restrictions, alternatives, conflicting objectives and their numerical parameters. Lastly, you would gather, relate, identify data with variables in models by applying personal judgment and mathematical tests.

Requirements
1. Bachelor's Degree in related field or equivalent experience and five to seven years of related experience or Master's degree and three to five years of related experience.
2. Operations Research (OR) Degree desired.
3. Previous Modeling and Simulation (M&amp;S) analysis experience highly desired.
4. Knowledge and/or experience in Air Force and/or Navy Air-to-Air and/or Air-to-Surface operations is desired.
5. Previous M&amp;S and Tool development and some computer programming skills (C++, FORTRAN, etc.), data base development, Geographic Information System (GIS), and management is desired.
6. A current Secret security clearance with the ability to obtain Top Secret (current Top Secret desired).

Qualifications
Requires Bachelor's degree in a related discipline or equivalent, seven to nine years of related experience, and proficiency in the use of computer-spread sheets, databases and other related tools.

Additional Qualifications
Years of Experience: 07-09 years w/Bachelorâ€™s Degree
 05-07 years w/Masterâ€™s Degree

Qualifications Requires Bachelor's Degree in related field or equivalent experience and ten to twelve years of related experience or Master's degree and seven to nine years of related experience.

Degrees Bachelor's Degree

Years of Experience 10-12 years w/Bachelors Degree
07-09 years w/Masters Degree",1233,"Washington, DC"
